Name;Organisation;responsabilities;search;search page;Full URL
William M. Ela;;;ELA Medical S A FR;10;http://www.martindale.com/William-M-Ela/310723-lawyer.htm
Evan Dennett Ela;;;ELA Medical S A FR;10;http://www.martindale.com/Evan-Dennett-Ela/2072427-lawyer.htm
;;;ELA Medical S A FR;10;http://www.martindale.com/Felipe-Fr-#237;as/157974807-lawyer.htm
Kristina Medic;O'Melveny & Myers LLP;;ELA Medical S A FR;10;http://www.martindale.com/Kristina-Medic/20561785-lawyer.htm
Joseph Medic;Geller, Siegel & Coonerty, L.L.P.;;ELA Medical S A FR;10;http://www.martindale.com/Joseph-Medic/43719704-lawyer.htm
;;;ELA Medical S A FR;10;http://www.martindale.com/Jeffrey-J-Beaton/1754989-lawyer.htm
;;;ELA Medical S A FR;10;http://www.martindale.com/Thomas-D-Wright/3286951-lawyer.htm
;;;ELA Medical S A FR;10;http://www.martindale.com/Charles-A-Oliver/1647308-lawyer.htm
;;;ELA Medical S A FR;10;http://www.martindale.com/Richard-C-Smukler/1562309-lawyer.htm
;;;ELA Medical S A FR;10;http://www.martindale.com/Daniel-E-Holeman/1488581-lawyer.htm
;;;ELA Medical S A FR;20;http://www.martindale.com/Leslie-A-Levy/193959-lawyer.htm
;;;ELA Medical S A FR;20;http://www.martindale.com/Barbara-Cashman/2572601-lawyer.htm
;;;ELA Medical S A FR;20;http://www.martindale.com/Leslie-Weber-Hoffman/372673-lawyer.htm
;;;ELA Medical S A FR;20;http://www.martindale.com/Earle-J-Schwarz/1610091-lawyer.htm
;;;ELA Medical S A FR;20;http://www.martindale.com/Paula-M-Lawhon/3740074-lawyer.htm
;;;ELA Medical S A FR;20;http://www.martindale.com/Amy-L-Mirabile/3802899-lawyer.htm
;;;ELA Medical S A FR;20;http://www.martindale.com/Heather-A-Tattershall/2053218-lawyer.htm
;;;ELA Medical S A FR;20;http://www.martindale.com/Helene-Bernstein/402877-lawyer.htm
;;;ELA Medical S A FR;20;http://www.martindale.com/Pauline-Martin-Rosen/152450-lawyer.htm
;;;ELA Medical S A FR;20;http://www.martindale.com/Shelley-Kennedy/157162718-lawyer.htm
;;;ELA Medical S A FR;30;http://www.martindale.com/Carl-Arnold/3583255-lawyer.htm
James V. Ferro, Jr.;Ferro Law & Mediation Group, PLLC;;ELA Medical S A FR;30;http://www.martindale.com/James-V-Ferro-Jr/1075709-lawyer.htm
C. D. "Chuck" Cowan;C.D. Cowan, P.C." href="/The-Law-Offices-of-CD-Cowan/1710141-law-firm-office.htm">The Law Offices ofC.D. Cowan, P.C.;;ELA Medical S A FR;30;http://www.martindale.com/C-D-Chuck-Cowan/1710143-lawyer.htm
Mary Kay Hansen;C.D. Cowan, P.C." href="/The-Law-Offices-of-CD-Cowan/1710141-law-firm-office.htm">The Law Offices ofC.D. Cowan, P.C.;;ELA Medical S A FR;30;http://www.martindale.com/Mary-Kay-Hansen/1057850-lawyer.htm
Catherine A. Ross;Catherine A. Ross" href="/Law-Mediation-Office-of-Catherine/2659084-law-firm-office.htm">Law & Mediation Office ofCatherine A. Ross;;ELA Medical S A FR;30;http://www.martindale.com/Catherine-A-Ross/1096744-lawyer.htm
